Пройденные курсы			
Introduction to digital journalism (Введение в цифровую журналистику)	Reuters	Электронный	Сертификат
Leadership and People Management Course          (Курс лидерства и управления людьми)	Reed Courses	Электронный	Сертификат
How To Have A Patient-Centered Discussion About COVID Vaccines            (Как вести дискуссию о вакцинах против COVID)	Stanford Medicine	Электронный	Сертификат
Strategies for Assisted Living Communities during COVID-19 (Стратегии для сообществ с престарелыми во время COVID-19)	Johns Hopkins University (Университет Джонса Хопкинса)                          платформа Сoursera	Электронный	Сертификат
Prevent Detect Escape - Home Fire Safety for people at higher risk                                     (Домашняя пожарная безопасность)	Country Fire Authority	Электронный	Сертификат
Digital Skills: Social Media (Цифровые навыки: социальные сети)	FutureLearn - британская платформа цифрового образования	Электронный	Сертификат
What are smart cities?            (Что такое умные города?)	Royal Town Planning Institute (Королевский институт городского планирования)	Электронный	Сертификат
Get Started with Canva (Начните работу с Canva)	Coursera Project Network	Электронный	Сертификат
Digital Footprint              (Цифровой след)	University of Edinburgh (Эдинбургский университет)           платформа Сoursera	Электронный	Сертификат
Основы фотографии	Новосибирский Государственный Университет (НГУ)                                 платформа Сoursera	Электронный	Сертификат
Human Capital Strategy                         (Стратегия человеческого капитала)	Philanthropy University	Электронный	Сертификат
Animals, Self, and Society (Животные, личность и общество)	University of Colorado Boulder (Университет штата Колорадо в Боулдере)                           платформа Сoursera	Электронный	Сертификат
Animals and Institutions (Животные и учреждения)	University of Colorado Boulder (Университет штата Колорадо в Боулдере)                           платформа Сoursera	Электронный	Сертфикат
The Changing Status and Perception of Animals (Меняющийся статус и восприятие животных)	University of Colorado Boulder (Университет штата Колорадо в Боулдере)                           платформа Сoursera	Электронный	Сертификат
Specialization: Animals and Society                                 (Специализация: Животные и общество)	University of Colorado Boulder (Университет штата Колорадо в Боулдере)                           платформа Сoursera	Электронный	Сертификат по специализации
Data and Digital Literacy Introduction Course                             (Вводный курс по данным и цифровой грамотности)	IFRC                         (Международная Федерация обществ Красного Креста и Красного Полумесяца)	Электронный	Сертификат
The Bits and Bytes of Computer Networking                                 (Биты и байты компьютерных сетей)	Google                                            (платформа Сoursera)	Электронный	Сертификат
Создаем дизайны для социальных сетей с помощью Canva	Coursera Project Network	Электронный	Сертификат
Cameras, Exposure, and Photography                  (Камеры, экспозиция и фотография)	Michigan State University (Университет штата Мичиган) платформа Сoursera   	Электронный	Сертификат
Политика и управление водными ресурсами	Université de Genève (Университет Женевы) платформа Сoursera  	Электронный	Сертификат
Electronics Foundations: Fundamentals                    (Основы электроники: основы)	LinkedIn Learning	Электронный	Сертификат
Exercising Leadership: Foundational Principles (Лидерство: основополагающие принципы)	Harvard University                      (Гарвардский университет)                      Платформа edX 	Электронный	Сертификат
Remote Work Revolution for Everyone                      (Революция удаленной работы для всех)	Harvard University                      (Гарвардский университет)                      Платформа edX 	Электронный	Сертификат
Professional Certificate: Leading in a Remote Environment (Профессиональный сертификат: лидерство в удаленной среде)	Harvard University                      (Гарвардский университет)                      Платформа edX 	Электронный	Профессиональный  сертификат
Fundamentos de fotografía documental                               (Основы документальной фотографии)	Universidad del Rosario (Университет Росарио)  Платформа edX	Электронный	Сертификат
Aussie Specialist Agent	Tourism Australia	Электронный	Сертификат
Electric Utilities Fundamentals and Future                                 (Основы и будущее электроэнергетики)	University of Colorado                     (Система университетов штата Колорадо)                      Платформа Coursera	Электронный	Сертификат
